,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV,Tmag,Limiting,Saturation
11,rings.v3.skycell.1878.044.wrp.z.55290_36484,55290.3654116111,z,30,131.981263486407,25.7369716052745,1878.044,Pan-STARRS1,,,2455290.865412,+08:47:55.4472,+25:44:13.589,5.660473325039368,6.119159322349985,18.8319862858084,8.660000911274256,112.88535425168854,0.0547893227317146,0.0421786328134323,23.63536724193159,18.530956971313863,20.9,14.5
12,rings.v3.skycell.1878.044.wrp.z.55290_37141,55290.3719843111,z,30,131.981425613007,25.7370815154245,1878.044,Pan-STARRS1,,,2455290.871984,+08:47:55.4856,+25:44:13.988,5.660563039920675,6.119155204668149,18.832053656940616,8.660428995139629,112.87904762611088,0.0548301768565675,0.0421627273016068,23.636615034777783,18.53104241641391,20.9,14.5
13,rings.v3.skycell.1878.044.wrp.z.55290_37354,55290.3741196111,z,30,131.981478283741,25.7371172223856,1878.044,Pan-STARRS1,,,2455290.87412,+08:47:55.4980,+25:44:14.118,5.6605921996426085,6.11915386643178,18.83207555415733,8.660568104773489,112.87699790582256,0.0548434551329068,0.0421575578705673,23.637020517508123,18.53107017531388,20.9,14.5
14,rings.v3.skycell.1805.061.wrp.z.55585_63194,55585.6325122111,z,30,177.315540476568,22.459487211285,1805.061,Pan-STARRS1,,,2455586.132512,+11:49:15.8610,+22:27:34.218,5.569141054753134,6.27706345650948,18.816664773403453,6.631917371526184,132.5701129100806,-0.0091400835209626,0.1970071067319827,-15.228625292338474,19.99329719323269,20.9,14.5
15,rings.v3.skycell.1805.061.wrp.z.55585_64271,55585.6432809111,z,30,177.31550144003,22.4603349472793,1805.061,Pan-STARRS1,,,2455586.143281,+11:49:15.8507,+22:27:37.273,5.569046352094986,6.277081307969445,18.816597096938303,6.630849836251739,132.58000454823835,-0.0092022403051044,0.197020513310408,-15.224743656009393,19.993394111532673,20.9,14.5
18,rings.v3.skycell.1888.068.wrp.r.55645_46759,55645.4682214815,r,40,174.017029136944,26.6329248911322,1888.068,Pan-STARRS1,,,2455645.968221,+11:36:04.1504,+26:37:59.622,5.504974968989446,6.388637790618255,18.80459481647154,4.465209162434586,150.0800231744816,-0.1617852324232383,0.0967355743267031,12.407975616063156,20.531949845925556,21.5,14.5
19,rings.v3.skycell.1888.068.wrp.r.55645_46824,55645.4688681815,r,40,174.016982332031,26.6329498789019,1888.068,Pan-STARRS1,,,2455645.968868,+11:36:04.1392,+26:37:59.712,5.504979605532899,6.388639127854425,18.80459892881932,4.4652717411552105,150.07956130986605,-0.1617841607314818,0.0967330268373105,12.408267410350131,20.531955019525604,21.5,14.5
20,rings.v3.skycell.1888.068.wrp.r.55645_47896,55645.4795909815,r,40,174.016206269381,26.6333641959796,1888.068,Pan-STARRS1,,,2455645.979591,+11:36:03.9529,+26:38:01.206,5.505056464768075,6.388661290825457,18.804667096664325,4.466308985325729,150.07190558199662,-0.1617663905256454,0.0966908040249858,12.41310322814519,20.532040801925586,21.5,14.5
21,rings.v3.skycell.1888.068.wrp.r.55645_47962,55645.4802515815,r,40,174.016158458456,26.6333897208297,1888.068,Pan-STARRS1,,,2455645.980252,+11:36:03.9414,+26:38:01.298,5.505061203598051,6.388662657046946,18.80467129950211,4.466372930621528,150.07143359331732,-0.1617652945814573,0.0966882011386514,12.413401310519928,20.532046086725604,21.5,14.5
22,rings.v3.skycell.1888.068.wrp.i.55645_49381,55645.4944625167,i,45,174.015129942021,26.6339388155757,1888.068,Pan-STARRS1,,,2455645.994463,+11:36:03.6945,+26:38:03.276,5.5051631123564135,6.388692030464878,18.80476167846049,4.467747880683796,150.0612843707335,-0.1617417176833802,0.0966322372288244,12.41980949046278,20.532159774207162,21.5,14.5
