,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV,Tmag,Limiting,Saturation
82,rings.v3.skycell.1644.020.wrp.g.56421_46574,56421.4664024426,g,43,222.788549458586,13.193119888243,1644.020,Pan-STARRS1,,,2456421.966402,+14:51:09.5152,+13:11:34.801,8.412294425647957,9.293841289088483,21.460120902267647,3.189614114165764,149.19076579378776,-0.1742107246770833,0.0222045232776989,13.304074175866583,21.42862302588101,21.5,14.5
83,rings.v3.skycell.1644.030.wrp.g.56421_46574,56421.4664024426,g,43,222.788549458586,13.193119888243,1644.030,Pan-STARRS1,,,2456421.966402,+14:51:09.5152,+13:11:34.801,8.412294425647957,9.293841289088483,21.460120902267647,3.189614114165764,149.19076579378776,-0.1742107246770833,0.0222045232776989,13.304074175866583,21.42862302588101,21.5,14.5
84,rings.v3.skycell.1644.020.wrp.g.56421_47317,56421.4738283426,g,43,222.788018197323,13.1931854836929,1644.020,Pan-STARRS1,,,2456421.973828,+14:51:09.3876,+13:11:35.039,8.412351490823804,9.293876116825045,21.460158500087797,3.1898785235044165,149.1878668376799,-0.1742062427869314,0.0221851071478527,13.307415725934598,21.428637877681002,21.5,14.5
85,rings.v3.skycell.1644.030.wrp.g.56421_47317,56421.4738283426,g,43,222.788018197323,13.1931854836929,1644.030,Pan-STARRS1,,,2456421.973828,+14:51:09.3876,+13:11:35.039,8.412351490823804,9.293876116825045,21.460158500087797,3.1898785235044165,149.1878668376799,-0.1742062427869314,0.0221851071478527,13.307415725934598,21.428637877681002,21.5,14.5
86,rings.v3.skycell.1644.020.wrp.g.56421_47580,56421.4764570426,g,43,222.787830135744,13.1932087038763,1644.020,Pan-STARRS1,,,2456421.976457,+14:51:09.3424,+13:11:35.123,8.412371696834702,9.29388844677573,21.460171812428275,3.189972161558006,149.1868401824621,-0.1742046547494134,0.0221782331563973,13.308598693317595,21.428643135081003,21.5,14.5
87,rings.v3.skycell.1644.030.wrp.g.56421_47580,56421.4764570426,g,43,222.787830135744,13.1932087038763,1644.030,Pan-STARRS1,,,2456421.976457,+14:51:09.3424,+13:11:35.123,8.412371696834702,9.29388844677573,21.460171812428275,3.189972161558006,149.1868401824621,-0.1742046547494134,0.0221782331563973,13.308598693317595,21.428643135081003,21.5,14.5
96,tu2187854.fits.fz 6dfa4d675c929ad0a4bb646778b84b08,56705.3390804422,z,30,237.636138409453,5.24221791138108,Pal5-F10-slew,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/6dfa4d675c929ad0a4bb646778b84b08,,2456705.83908,+15:50:32.9774,+05:14:30.718,10.544418325160676,10.65768148407465,22.73853995588259,5.307276253528664,93.92126397316612,0.072633452733471,0.0704786295927636,-18.00060163566775,22.448184190940104,23.7,16.0
97,tu2188400.fits.fz 8282c1096f073595c416c64cacf02348,56705.3390804422,z,30,237.636138409453,5.24221791138108,Pal5-F10-slew,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/8282c1096f073595c416c64cacf02348,,2456705.83908,+15:50:32.9774,+05:14:30.718,10.544418325160676,10.65768148407465,22.73853995588259,5.307276253528664,93.92126397316612,0.072633452733471,0.0704786295927636,-18.00060163566775,22.448184190940104,23.7,16.0
98,c4d_140217_080925_ori.fits.fz 38fe420e7a0de5577542c665155eb379,56705.3390804422,z,30,237.636138409453,5.24221791138108,Pal5-F10-slew,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/38fe420e7a0de5577542c665155eb379,,2456705.83908,+15:50:32.9774,+05:14:30.718,10.544418325160676,10.65768148407465,22.73853995588259,5.307276253528664,93.92126397316612,0.072633452733471,0.0704786295927636,-18.00060163566775,22.448184190940104,23.7,16.0
99,c4d_140217_080925_ooi_z_ls11.fits.fz 1b67f59e1fba05a5e3acdae65d968d89,56705.3390804422,z,30,237.636138409453,5.24221791138108,Pal5-F10-slew,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/1b67f59e1fba05a5e3acdae65d968d89,,2456705.83908,+15:50:32.9774,+05:14:30.718,10.544418325160676,10.65768148407465,22.73853995588259,5.307276253528664,93.92126397316612,0.072633452733471,0.0704786295927636,-18.00060163566775,22.448184190940104,23.7,16.0
100,tu2188149.fits.fz 49a40b68a980d1047580d3ae8e5cadef,56705.3413215446,z,300,237.636203214664,5.24228122252378,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/49a40b68a980d1047580d3ae8e5cadef,,2456705.841322,+15:50:32.9931,+05:14:30.946,10.54439501761903,10.657692440175904,22.738532588434555,5.307260532555479,93.92326654996351,0.072624814798907,0.0704808089877434,-18.000513419999475,22.4481864320425,23.7,16.0
101,tu2188354.fits.fz f71b4811773a06d2eda7615f9f5b5370,56705.3413215446,z,300,237.636203214664,5.24228122252378,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/f71b4811773a06d2eda7615f9f5b5370,,2456705.841322,+15:50:32.9931,+05:14:30.946,10.54439501761903,10.657692440175904,22.738532588434555,5.307260532555479,93.92326654996351,0.072624814798907,0.0704808089877434,-18.000513419999475,22.4481864320425,23.7,16.0
102,c4d_140217_081452_ori.fits.fz 5e78c50bec2f59628b75c2d13ed57d8d,56705.3413215446,z,300,237.636203214664,5.24228122252378,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/5e78c50bec2f59628b75c2d13ed57d8d,,2456705.841322,+15:50:32.9931,+05:14:30.946,10.54439501761903,10.657692440175904,22.738532588434555,5.307260532555479,93.92326654996351,0.072624814798907,0.0704808089877434,-18.000513419999475,22.4481864320425,23.7,16.0
103,c4d_140217_081452_ooi_z_ls11.fits.fz d9bfc52d4d104f75546773ebfaa6d027,56705.3413215446,z,300,237.636203214664,5.24228122252378,Pal5-F10-z300,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/d9bfc52d4d104f75546773ebfaa6d027,,2456705.841322,+15:50:32.9931,+05:14:30.946,10.54439501761903,10.657692440175904,22.738532588434555,5.307260532555479,93.92326654996351,0.072624814798907,0.0704808089877434,-18.000513419999475,22.4481864320425,23.7,16.0
