,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,Date,RA,DEC,Dobs,Dhelio,VMag,Phase,Elong.,dRAcosDEC,dDEC,RV,Tmag,Limiting,Saturation
239,c4d_160803_011111_ori.fits.fz a27df456136cfd74c4919e2153bf4008,57603.0482460762,g,105,246.740659898519,-0.184102350273234,DECaLS_6374_g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/a27df456136cfd74c4919e2153bf4008,,2457603.548246,+16:26:58.0408,-00:11:04.089,14.652891797430442,15.06711540605238,24.91938399997428,3.572585075603929,112.29379970364045,-0.0360646146139873,-0.0596911609255742,33.0355300865081,19.337745600818103,24.0,16.0
240,c4d_160803_011111_oki_g_v1.fits.fz 0d686cd878d66721b0d2d7e42c2cf9aa,57603.0482460762,g,105,246.740659898519,-0.184102350273234,DECaLS_6374_g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/0d686cd878d66721b0d2d7e42c2cf9aa,,2457603.548246,+16:26:58.0408,-00:11:04.089,14.652891797430442,15.06711540605238,24.91938399997428,3.572585075603929,112.29379970364045,-0.0360646146139873,-0.0596911609255742,33.0355300865081,19.337745600818103,24.0,16.0
241,c4d_160803_011111_ooi_g_v1.fits.fz 057743902407158f7bb863d6d120f770,57603.0482460762,g,105,246.740659898519,-0.184102350273234,DECaLS_6374_g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/057743902407158f7bb863d6d120f770,,2457603.548246,+16:26:58.0408,-00:11:04.089,14.652891797430442,15.06711540605238,24.91938399997428,3.572585075603929,112.29379970364045,-0.0360646146139873,-0.0596911609255742,33.0355300865081,19.337745600818103,24.0,16.0
242,c4d_160803_011111_opi_g_v1.fits.fz ba2031c7ad6c01843b027506d2926d7d,57603.0482460762,g,105,246.740659898519,-0.184102350273234,DECaLS_6374_g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/ba2031c7ad6c01843b027506d2926d7d,,2457603.548246,+16:26:58.0408,-00:11:04.089,14.652891797430442,15.06711540605238,24.91938399997428,3.572585075603929,112.29379970364045,-0.0360646146139873,-0.0596911609255742,33.0355300865081,19.337745600818103,24.0,16.0
243,c4d_160803_011111_ooi_g_ls9.fits.fz bcc5743e257db5af21ec92b3452596e9,57603.0482460762,g,105,246.740659898519,-0.184102350273234,DECaLS_6374_g,CTIO-4m/DECam,https://astroarchive.noirlab.edu/api/retrieve/bcc5743e257db5af21ec92b3452596e9,,2457603.548246,+16:26:58.0408,-00:11:04.089,14.652891797430442,15.06711540605238,24.91938399997428,3.572585075603929,112.29379970364045,-0.0360646146139873,-0.0596911609255742,33.0355300865081,19.337745600818103,24.0,16.0
244,ztf_20180327504618_000433_zg_c08_o_q3_sciimg,58204.504895811,zg,30,260.25364300358,-4.31451424800036,433,ZTF,CTIO,,2458205.004896,+17:21:01.1756,-04:18:53.543,17.635427031688742,17.934103597913353,26.10225817406153,3.0677515481321054,105.87660331894118,-0.0120082626194722,0.0352613536088567,-18.80217113328676,13.735410448264942,20.0,12.5
245,ztf_20180327531343_000433_zg_c08_o_q3_sciimg,58204.5315278112,zg,30,260.253514282246,-4.31413844088636,433,ZTF,CTIO,,2458205.031528,+17:21:01.1447,-04:18:52.191,17.63513786784132,17.93422822245422,26.10220205282247,3.067372522598116,105.90155334976612,-0.0120701393452123,0.0352608259797191,-18.79836193974869,13.735543608265965,20.0,12.5
246,ztf_20180330470046_000433_zg_c08_o_q3_sciimg,58207.4702315112,zg,30,260.23526741104,-4.27275174598146,433,ZTF,CTIO,,2458207.970232,+17:20:56.7688,-04:16:23.186,17.603608339736326,17.94797858192323,26.09609468739878,3.0220415978314943,108.65284420173477,-0.0188528994549836,0.0351440358294786,-18.34593354935236,13.749237126765955,20.0,12.5
247,ztf_20180330528449_000433_zg_c08_o_q3_sciimg,58207.5286458111,zg,30,260.234824435932,-4.27193070054398,433,ZTF,CTIO,,2458208.028646,+17:20:56.6624,-04:16:20.230,17.602989584343774,17.948251877812087,26.09597509803092,3.0210705906663944,108.7074937288138,-0.0189868307785215,0.0351405497622204,-18.336301145940173,13.749529198265453,20.0,12.5
248,ztf_20180402508472_000433_zg_c08_o_q3_sciimg,58210.5086574112,zg,30,260.208077206751,-4.23017070339352,433,ZTF,CTIO,,2458211.008657,+17:20:50.2405,-04:13:49.905,17.571873878465524,17.962192794696563,26.089977542291965,2.967971351820594,111.4931474848469,-0.0257736282782444,0.0349028008615354,-17.811745145695188,13.763429256265947,20.0,12.5
